"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","CG0073","HP0001","HP0015","HP0047","HP0048","HP0069","HP0076","HP0077","Neisseria_cinerea_ATCC_14685","Neisseria_elongata_subsp_glycolytica_ATCC_29315","Neisseria_flavescens_NRL30031","Neisseria_gonorrhoeae_FA1090","Neisseria_lactamica_ATCC_23970","Neisseria_meningitidis_MC58","Neisseria_mucosa_ATCC_25996","Neisseria_polysaccharea_ATCC_43768","Neisseria_sicca_ATCC_29256","Neisseria_subflava_NJ9703","TT0073","TT0074"
"rpsJ","","30S ribosomal protein S10","20","20","1","1","6271","1","6192","","311","311","311","HMOAHFMJ_00953","IDGDMJON_01871","JOFAMBFM_00809","PFGGLJGN_00130","CPIGLEMO_01290","HHMKECDE_00151","DCPLGDCJ_01303","AOPEFJLO_02275","NEICINOT_RS03045.p01","97242be58ea2b967d3a96d843ed5ca77_2205","NEIFLAOT_RS06005.p01","F9Z35_RS04235.p01","DR91_RS07775.p01","789e0afcaef373706e96bedeae961f4c_557","43fe8da7603a91c46bb9b1b5b5435cfb_182","NEIPOLOT_RS10485.p01","d9e11fc94d580b5feae8349fbaa657ca_246","NEISUBOT_RS06640.p01","MGNOPCIE_01927","PAHHJFHK_02279"
"nuoI","","NADH-quinone oxidoreductase subunit I","20","20","1","1","2904","1","1652","","479","479","479","HMOAHFMJ_01167","IDGDMJON_01646","JOFAMBFM_00980","PFGGLJGN_02095","CPIGLEMO_01139","HHMKECDE_00309","DCPLGDCJ_01142","AOPEFJLO_00024","NEICINOT_RS05530.p01","97242be58ea2b967d3a96d843ed5ca77_6741","NEIFLAOT_RS08660.p01","F9Z35_RS04815.p01","DR91_RS08505.p01","789e0afcaef373706e96bedeae961f4c_1014","43fe8da7603a91c46bb9b1b5b5435cfb_7377","NEIPOLOT_RS06495.p01","d9e11fc94d580b5feae8349fbaa657ca_3783","NEISUBOT_RS01680.p01","MGNOPCIE_02092","PAHHJFHK_00133"
"rplE","","50S ribosomal protein L5","20","20","1","1","6284","1","6179","","539","539","539","HMOAHFMJ_00940","IDGDMJON_01884","JOFAMBFM_00796","PFGGLJGN_00143","CPIGLEMO_01303","HHMKECDE_00138","DCPLGDCJ_01316","AOPEFJLO_02262","NEICINOT_RS03110.p01","97242be58ea2b967d3a96d843ed5ca77_1042","NEIFLAOT_RS06070.p01","F9Z35_RS04305.p01","DR91_RS07705.p01","789e0afcaef373706e96bedeae961f4c_611","43fe8da7603a91c46bb9b1b5b5435cfb_5171","NEIPOLOT_RS04735.p01","d9e11fc94d580b5feae8349fbaa657ca_3150","NEISUBOT_RS06705.p01","MGNOPCIE_01914","PAHHJFHK_02263"
"ychF","","redox-regulated ATPase YchF","20","20","1","1","632","1","3753","","1091","1091","1091","HMOAHFMJ_00575","IDGDMJON_01377","JOFAMBFM_00470","PFGGLJGN_01804","CPIGLEMO_01593","HHMKECDE_02035","DCPLGDCJ_01595","AOPEFJLO_01904","NEICINOT_RS05090.p01","97242be58ea2b967d3a96d843ed5ca77_5041","NEIFLAOT_RS09545.p01","F9Z35_RS06915.p01","DR91_RS06615.p01","789e0afcaef373706e96bedeae961f4c_7407","43fe8da7603a91c46bb9b1b5b5435cfb_8392","NEIPOLOT_RS14200.p01","d9e11fc94d580b5feae8349fbaa657ca_5713","NEISUBOT_RS03555.p01","MGNOPCIE_01566","PAHHJFHK_00378"
"prfB","","Peptide chain release factor RF2","20","20","1","1","2863","1","1694","","1103","1103","1103","HMOAHFMJ_01150","IDGDMJON_01658","JOFAMBFM_00969","PFGGLJGN_02107","CPIGLEMO_01150","HHMKECDE_00297","DCPLGDCJ_01153","AOPEFJLO_02438","NEICINOT_RS05645.p01","97242be58ea2b967d3a96d843ed5ca77_8765","NEIFLAOT_RS08595.p01","F9Z35_RS03615.p01","DR91_RS08395.p01","789e0afcaef373706e96bedeae961f4c_8604","43fe8da7603a91c46bb9b1b5b5435cfb_4304","NEIPOLOT_RS06605.p01","d9e11fc94d580b5feae8349fbaa657ca_5319","NEISUBOT_RS01730.p01","MGNOPCIE_02080","PAHHJFHK_00122"
"trpS","","tryptophan--tRNA ligase","20","20","1","1","6896","1","1971","","1010","1010","1010","HMOAHFMJ_02424","IDGDMJON_00463","JOFAMBFM_02062","PFGGLJGN_00930","CPIGLEMO_00165","HHMKECDE_01250","DCPLGDCJ_02194","AOPEFJLO_01242","NEICINOT_RS00575.p01","97242be58ea2b967d3a96d843ed5ca77_7760","NEIFLAOT_RS01320.p01","F9Z35_RS00730.p01","DR91_RS04065.p01","789e0afcaef373706e96bedeae961f4c_5904","43fe8da7603a91c46bb9b1b5b5435cfb_6533","NEIPOLOT_RS08120.p01","d9e11fc94d580b5feae8349fbaa657ca_4999","NEISUBOT_RS08615.p01","MGNOPCIE_00762","PAHHJFHK_01268"
"cstA","","carbon starvation protein A","20","20","1","1","1744","1","5890","","2081","2081","2081","HMOAHFMJ_00184","IDGDMJON_02499","JOFAMBFM_00207","PFGGLJGN_00581","CPIGLEMO_01814","HHMKECDE_01737","DCPLGDCJ_01859","AOPEFJLO_00704","NEICINOT_RS00670.p01","97242be58ea2b967d3a96d843ed5ca77_6031","NEIFLAOT_RS05555.p01","F9Z35_RS00630.p01","DR91_RS04200.p01","789e0afcaef373706e96bedeae961f4c_5980","43fe8da7603a91c46bb9b1b5b5435cfb_1114","NEIPOLOT_RS08020.p01","d9e11fc94d580b5feae8349fbaa657ca_5171","NEISUBOT_RS08225.p01","MGNOPCIE_01287","PAHHJFHK_01719"
"rplM","","50S ribosomal protein L13","20","20","1","1","591","1","3475","","191","431","419","HMOAHFMJ_00673","IDGDMJON_01458","JOFAMBFM_00547","PFGGLJGN_01885","CPIGLEMO_01519","HHMKECDE_02108","DCPLGDCJ_01520","AOPEFJLO_01978","NEICINOT_RS06110.p01","97242be58ea2b967d3a96d843ed5ca77_8586","NEIFLAOT_RS08340.p01","F9Z35_RS05745.p01","DR91_RS06860.p01","789e0afcaef373706e96bedeae961f4c_8288","43fe8da7603a91c46bb9b1b5b5435cfb_2315","NEIPOLOT_RS10385.p01","d9e11fc94d580b5feae8349fbaa657ca_7011","NEISUBOT_RS09910.p01","MGNOPCIE_01642","PAHHJFHK_00294"
"rpsH","","30S ribosomal protein S8","20","20","1","1","6286","1","6177","","392","392","392","HMOAHFMJ_00938","IDGDMJON_01886","JOFAMBFM_00794","PFGGLJGN_00145","CPIGLEMO_01305","HHMKECDE_00136","DCPLGDCJ_01318","AOPEFJLO_02260","NEICINOT_RS03120.p01","97242be58ea2b967d3a96d843ed5ca77_1050","NEIFLAOT_RS06080.p01","F9Z35_RS04315.p01","DR91_RS07695.p01","789e0afcaef373706e96bedeae961f4c_619","43fe8da7603a91c46bb9b1b5b5435cfb_5179","NEIPOLOT_RS04745.p01","d9e11fc94d580b5feae8349fbaa657ca_3142","NEISUBOT_RS06715.p01","MGNOPCIE_01912","PAHHJFHK_02261"
"carB","","Carbamoyl-phosphate synthase large chain","20","20","1","1","5198","1","4055","","1925","3215","3150","HMOAHFMJ_01517","IDGDMJON_02277","JOFAMBFM_01216","PFGGLJGN_00385","CPIGLEMO_00900","HHMKECDE_00568","DCPLGDCJ_00879","AOPEFJLO_00303","NEICINOT_RS05230.p01","97242be58ea2b967d3a96d843ed5ca77_2713","NEIFLAOT_RS04790.p01","F9Z35_RS06840.p01","DR91_RS09585.p01","789e0afcaef373706e96bedeae961f4c_7466","43fe8da7603a91c46bb9b1b5b5435cfb_1872","NEIPOLOT_RS04335.p01","d9e11fc94d580b5feae8349fbaa657ca_163","NEISUBOT_RS00415.p01","MGNOPCIE_02337","PAHHJFHK_01917"
"hemE","","Uroporphyrinogen decarboxylase","20","20","1","1","6043","1","2233","","1061","1064","1061","HMOAHFMJ_02918","IDGDMJON_00756","JOFAMBFM_01784","PFGGLJGN_01197","CPIGLEMO_02029","HHMKECDE_01528","DCPLGDCJ_00314","AOPEFJLO_00891","NEICINOT_RS06890.p01","97242be58ea2b967d3a96d843ed5ca77_8311","NEIFLAOT_RS03090.p01","F9Z35_RS08525.p01","DR91_RS01145.p01","789e0afcaef373706e96bedeae961f4c_3122","43fe8da7603a91c46bb9b1b5b5435cfb_1733","NEIPOLOT_RS07060.p01","d9e11fc94d580b5feae8349fbaa657ca_9751","NEISUBOT_RS05710.p01","MGNOPCIE_01034","PAHHJFHK_00995"
"dnaK","","Chaperone protein DnaK","20","20","1","1","723","1","2096","","1928","1931","1928","HMOAHFMJ_00255","IDGDMJON_02456","JOFAMBFM_00242","PFGGLJGN_00549","CPIGLEMO_01782","HHMKECDE_01785","DCPLGDCJ_01826","AOPEFJLO_00647","NEICINOT_RS02980.p01","97242be58ea2b967d3a96d843ed5ca77_1715","NEIFLAOT_RS04855.p01","F9Z35_RS10505.p01","DR91_RS10105.p01","789e0afcaef373706e96bedeae961f4c_2190","43fe8da7603a91c46bb9b1b5b5435cfb_1073","NEIPOLOT_RS12165.p01","d9e11fc94d580b5feae8349fbaa657ca_4398","NEISUBOT_RS08900.p01","MGNOPCIE_01327","PAHHJFHK_01751"
"nqrC","","Na(+)-translocating NADH-quinone reductase subunit C","20","20","1","1","4010","1","5854","","746","776","774","HMOAHFMJ_00529","IDGDMJON_01335","JOFAMBFM_00425","PFGGLJGN_01763","CPIGLEMO_01637","HHMKECDE_01993","DCPLGDCJ_01636","AOPEFJLO_01861","NEICINOT_RS02915.p01","97242be58ea2b967d3a96d843ed5ca77_7562","NEIFLAOT_RS06885.p01","F9Z35_RS10570.p01","DR91_RS10170.p01","789e0afcaef373706e96bedeae961f4c_2246","43fe8da7603a91c46bb9b1b5b5435cfb_8122","NEIPOLOT_RS12225.p01","d9e11fc94d580b5feae8349fbaa657ca_9036","NEISUBOT_RS03760.p01","MGNOPCIE_01523","PAHHJFHK_00420"
"nqrD","","NADH:ubiquinone reductase (Na(+)-transporting) subunit D","20","20","1","1","4011","1","5855","","626","644","626","HMOAHFMJ_00530","IDGDMJON_01336","JOFAMBFM_00426","PFGGLJGN_01764","CPIGLEMO_01636","HHMKECDE_01994","DCPLGDCJ_01635","AOPEFJLO_01862","NEICINOT_RS02920.p01","97242be58ea2b967d3a96d843ed5ca77_7558","NEIFLAOT_RS06890.p01","F9Z35_RS10565.p01","DR91_RS10165.p01","789e0afcaef373706e96bedeae961f4c_2242","43fe8da7603a91c46bb9b1b5b5435cfb_8118","NEIPOLOT_RS12220.p01","d9e11fc94d580b5feae8349fbaa657ca_9040","NEISUBOT_RS03755.p01","MGNOPCIE_01524","PAHHJFHK_00419"
"lysS","","Lysine--tRNA ligase","20","20","1","1","6321","1","6156","","1511","1544","1512","HMOAHFMJ_00916","IDGDMJON_01946","JOFAMBFM_00751","PFGGLJGN_00196","CPIGLEMO_01346","HHMKECDE_00097","DCPLGDCJ_01335","AOPEFJLO_02236","NEICINOT_RS07625.p01","97242be58ea2b967d3a96d843ed5ca77_766","NEIFLAOT_RS06150.p01","F9Z35_RS10385.p01","DR91_RS05545.p01","789e0afcaef373706e96bedeae961f4c_5723","43fe8da7603a91c46bb9b1b5b5435cfb_4818","NEIPOLOT_RS09375.p01","d9e11fc94d580b5feae8349fbaa657ca_171","NEISUBOT_RS06800.p01","MGNOPCIE_01885","PAHHJFHK_02216"
"rplJ","","50S ribosomal protein L10","20","20","1","1","6256","1","6205","","500","500","500","HMOAHFMJ_00963","IDGDMJON_01863","JOFAMBFM_00817","PFGGLJGN_00122","CPIGLEMO_01280","HHMKECDE_00159","DCPLGDCJ_01295","AOPEFJLO_02283","NEICINOT_RS07675.p01","97242be58ea2b967d3a96d843ed5ca77_826","NEIFLAOT_RS06185.p01","F9Z35_RS04165.p01","DR91_RS07820.p01","789e0afcaef373706e96bedeae961f4c_517","43fe8da7603a91c46bb9b1b5b5435cfb_5516","NEIPOLOT_RS14235.p01","d9e11fc94d580b5feae8349fbaa657ca_2167","NEISUBOT_RS10780.p01","MGNOPCIE_01935","PAHHJFHK_02287"
"asd","","aspartate-semialdehyde dehydrogenase","20","20","1","1","3094","1","1852","","1115","1115","1115","HMOAHFMJ_01062","IDGDMJON_01727","JOFAMBFM_00901","PFGGLJGN_02174","CPIGLEMO_01209","HHMKECDE_00233","DCPLGDCJ_01213","AOPEFJLO_02352","NEICINOT_RS05985.p01","97242be58ea2b967d3a96d843ed5ca77_8249","NEIFLAOT_RS10005.p01","F9Z35_RS05590.p01","DR91_RS07005.p01","789e0afcaef373706e96bedeae961f4c_8387","43fe8da7603a91c46bb9b1b5b5435cfb_8428","NEIPOLOT_RS06345.p01","d9e11fc94d580b5feae8349fbaa657ca_755","NEISUBOT_RS02025.p01","MGNOPCIE_01999","PAHHJFHK_00057"
"atpE","","ATP synthase subunit c","20","20","1","1","4759","1","1241","","233","242","236","HMOAHFMJ_01350","IDGDMJON_02154","JOFAMBFM_01095","PFGGLJGN_02007","CPIGLEMO_01020","HHMKECDE_00438","DCPLGDCJ_01021","AOPEFJLO_00174","NEICINOT_RS03615.p01","97242be58ea2b967d3a96d843ed5ca77_249","NEIFLAOT_RS03920.p01","F9Z35_RS06405.p01","DR91_RS09160.p01","789e0afcaef373706e96bedeae961f4c_7783","43fe8da7603a91c46bb9b1b5b5435cfb_7880","NEIPOLOT_RS07390.p01","d9e11fc94d580b5feae8349fbaa657ca_2435","NEISUBOT_RS01065.p01","MGNOPCIE_02207","PAHHJFHK_02058"
"atpD","","F0F1 ATP synthase subunit beta","20","20","1","1","4765","1","1223","","182","1397","1336","HMOAHFMJ_01355","IDGDMJON_02159","JOFAMBFM_01100","PFGGLJGN_02002","CPIGLEMO_01015","HHMKECDE_00443","DCPLGDCJ_01016","AOPEFJLO_00179","NEICINOT_RS03640.p01","97242be58ea2b967d3a96d843ed5ca77_229","NEIFLAOT_RS03945.p01","F9Z35_RS06430.p01","DR91_RS09185.p01","789e0afcaef373706e96bedeae961f4c_7763","43fe8da7603a91c46bb9b1b5b5435cfb_7860","NEIPOLOT_RS07415.p01","d9e11fc94d580b5feae8349fbaa657ca_2415","NEISUBOT_RS01040.p01","MGNOPCIE_02212","PAHHJFHK_02053"
"thiG","","thiazole synthase","20","20","1","1","4850","1","3197","","788","788","788","HMOAHFMJ_01388","IDGDMJON_02185","JOFAMBFM_01126","PFGGLJGN_00284","CPIGLEMO_00988","HHMKECDE_00474","DCPLGDCJ_00986","AOPEFJLO_00206","NEICINOT_RS06030.p01","97242be58ea2b967d3a96d843ed5ca77_1616","NEIFLAOT_RS10505.p01","F9Z35_RS05645.p01","DR91_RS06950.p01","789e0afcaef373706e96bedeae961f4c_8352","43fe8da7603a91c46bb9b1b5b5435cfb_5256","NEIPOLOT_RS05005.p01","d9e11fc94d580b5feae8349fbaa657ca_4163","NEISUBOT_RS00875.p01","MGNOPCIE_02239","PAHHJFHK_02016"
"metK","","methionine adenosyltransferase","20","20","1","1","7140","1","4711","","1037","1169","1162","HMOAHFMJ_01650","IDGDMJON_01187","JOFAMBFM_01340","PFGGLJGN_01621","CPIGLEMO_00740","HHMKECDE_00676","DCPLGDCJ_00756","AOPEFJLO_00466","NEICINOT_RS04120.p01","97242be58ea2b967d3a96d843ed5ca77_8491","NEIFLAOT_RS09395.p01","F9Z35_RS07145.p01","DR91_RS09835.p01","789e0afcaef373706e96bedeae961f4c_7251","43fe8da7603a91c46bb9b1b5b5435cfb_1254","NEIPOLOT_RS05590.p01","d9e11fc94d580b5feae8349fbaa657ca_7185","NEISUBOT_RS10615.p01","MGNOPCIE_00068","PAHHJFHK_00567"
"iscS","","Cysteine desulfurase IscS","20","20","1","1","5699","1","2992","","1214","1262","1216","HMOAHFMJ_02805","IDGDMJON_00671","JOFAMBFM_01867","PFGGLJGN_01118","CPIGLEMO_02111","HHMKECDE_01443","DCPLGDCJ_00228","AOPEFJLO_00977","NEICINOT_RS00265.p01","97242be58ea2b967d3a96d843ed5ca77_4505","NEIFLAOT_RS06485.p01","F9Z35_RS02830.p01","DR91_RS03600.p01","789e0afcaef373706e96bedeae961f4c_5545","43fe8da7603a91c46bb9b1b5b5435cfb_5823","NEIPOLOT_RS07590.p01","d9e11fc94d580b5feae8349fbaa657ca_6155","NEISUBOT_RS05285.p01","MGNOPCIE_00940","PAHHJFHK_01080"
"nqrE","","NADH:ubiquinone reductase (Na(+)-transporting) subunit E","20","20","1","1","5272","1","5856","","521","593","589","HMOAHFMJ_00531","IDGDMJON_01337","JOFAMBFM_00427","PFGGLJGN_01765","CPIGLEMO_01635","HHMKECDE_01995","DCPLGDCJ_01634","AOPEFJLO_01863","NEICINOT_RS02925.p01","97242be58ea2b967d3a96d843ed5ca77_7554","NEIFLAOT_RS06895.p01","F9Z35_RS10560.p01","DR91_RS10160.p01","789e0afcaef373706e96bedeae961f4c_2238","43fe8da7603a91c46bb9b1b5b5435cfb_8114","NEIPOLOT_RS12215.p01","d9e11fc94d580b5feae8349fbaa657ca_9044","NEISUBOT_RS03750.p01","MGNOPCIE_01525","PAHHJFHK_00418"
"rplL","","50S ribosomal protein L7/L12","20","20","1","1","6257","1","6204","","368","371","370","HMOAHFMJ_00962","IDGDMJON_01864","JOFAMBFM_00816","PFGGLJGN_00123","CPIGLEMO_01281","HHMKECDE_00158","DCPLGDCJ_01296","AOPEFJLO_02282","NEICINOT_RS07670.p01","97242be58ea2b967d3a96d843ed5ca77_830","NEIFLAOT_RS06190.p01","F9Z35_RS04170.p01","DR91_RS07815.p01","789e0afcaef373706e96bedeae961f4c_521","43fe8da7603a91c46bb9b1b5b5435cfb_5520","NEIPOLOT_RS14230.p01","d9e11fc94d580b5feae8349fbaa657ca_2163","NEISUBOT_RS10785.p01","MGNOPCIE_01934","PAHHJFHK_02286"
"NEIFLAOT_RS10570","","oxidative damage protection protein","20","20","1","1","4479","1","3957","","266","275","272","HMOAHFMJ_01402","IDGDMJON_02199","JOFAMBFM_01139","PFGGLJGN_00298","CPIGLEMO_00975","HHMKECDE_00487","DCPLGDCJ_00973","AOPEFJLO_00220","NEICINOT_RS06265.p01","97242be58ea2b967d3a96d843ed5ca77_526","NEIFLAOT_RS10570.p01","F9Z35_RS06100.p01","DR91_RS06460.p01","789e0afcaef373706e96bedeae961f4c_8140","43fe8da7603a91c46bb9b1b5b5435cfb_4072","NEIPOLOT_RS11570.p01","d9e11fc94d580b5feae8349fbaa657ca_254","NEISUBOT_RS00810.p01","MGNOPCIE_02252","PAHHJFHK_02002"
"aspS","","aspartate--tRNA ligase","20","20","1","1","4033","1","3828","","1808","1808","1808","HMOAHFMJ_01570","IDGDMJON_02326","JOFAMBFM_01258","PFGGLJGN_00430","CPIGLEMO_00864","HHMKECDE_00609","DCPLGDCJ_00842","AOPEFJLO_00342","NEICINOT_RS04790.p01","97242be58ea2b967d3a96d843ed5ca77_7398","NEIFLAOT_RS04365.p01","F9Z35_RS10230.p01","DR91_RS05640.p01","789e0afcaef373706e96bedeae961f4c_1870","43fe8da7603a91c46bb9b1b5b5435cfb_295","NEIPOLOT_RS12940.p01","d9e11fc94d580b5feae8349fbaa657ca_1033","NEISUBOT_RS00240.p01","MGNOPCIE_02379","PAHHJFHK_01870"
